id,title,price,rating,availability,category,image_url,book_url
32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_971/index.html
33,The Elephant Tree,23.82,5,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_972/index.html
34,The Bear and the Piano,36.89,1,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_973/index.html
35,Sophie's World,15.94,5,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_974/index.html
36,Penny Maybe,33.29,3,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_975/index.html
37,Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_976/index.html
38,"In a Dark, Dark Wood",19.63,1,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_977/index.html
39,Behind Closed Doors,52.22,4,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_978/index.html
40,You can't bury them all: Poems,33.63,2,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_979/index.html
41,Slow States of Collapse: Poems,57.31,3,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_940/index.html
42,Reasons to Stay Alive,26.41,2,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_941/index.html
43,Private Paris (Private #10),47.61,5,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_942/index.html
44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_943/index.html
45,Without Borders (Wanderlove #1),45.07,2,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_944/index.html
46,When We Collided,31.77,1,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_945/index.html
47,"We Love You, Charlie Freeman",50.27,5,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_946/index.html
48,Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_947/index.html
49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_948/index.html
50,Unicorn Tracks,18.78,3,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_949/index.html
51,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_950/index.html
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_951/index.html
53,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_952/index.html
54,This One Summer,19.49,4,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_953/index.html
55,Thirst,17.27,5,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_954/index.html
56,The Torch Is Passed: A Harding Family Story,19.09,1,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_955/index.html
57,The Secret of Dreadwillow Carse,56.13,1,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_956/index.html
58,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_957/index.html
59,The Past Never Ends,56.5,4,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_958/index.html
60,The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,Romance,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_959/index.html
61,The Nameless City (The Nameless City #1),38.16,4,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_920/index.html
62,The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_921/index.html
63,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_922/index.html
64,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_923/index.html
65,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_924/index.html
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_925/index.html
67,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_926/index.html
68,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_927/index.html
69,The Death of Humanity: and the Case for Life,58.11,4,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_928/index.html
70,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_929/index.html
71,The Art Forger,40.76,3,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_930/index.html
72,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_931/index.html
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_932/index.html
74,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_933/index.html
75,Soul Reader,39.58,2,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_934/index.html
76,Security,39.25,2,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_935/index.html
77,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_936/index.html
78,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_937/index.html
79,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_938/index.html
80,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,Science Fiction,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_939/index.html
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_900/index.html
82,Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_901/index.html
83,"Pop Gun War, Volume 1: Gift",18.97,1,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_902/index.html
84,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_903/index.html
85,Patience,10.16,3,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_904/index.html
86,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_905/index.html
87,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_906/index.html
88,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_907/index.html
89,On a Midnight Clear,14.07,3,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_908/index.html
90,Obsidian (Lux #1),14.86,2,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_909/index.html
91,My Paris Kitchen: Recipes and Stories,33.37,2,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_910/index.html
92,Masks and Shadows,56.4,2,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_911/index.html
93,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_912/index.html
94,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_913/index.html
95,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_914/index.html
96,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_915/index.html
97,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_916/index.html
98,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_917/index.html
99,Join,35.67,5,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_918/index.html
100,In the Country We Love: My Family Divided,22.0,4,In stock,Fantasy,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_919/index.html
101,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_880/index.html
102,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_881/index.html
103,I am a Hero Omnibus Volume 1,54.63,3,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_882/index.html
104,How to Be Miserable: 40 Strategies You Already Use,46.03,1,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_883/index.html
105,Her Backup Boyfriend (The Sorensen Family #1),33.97,1,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_884/index.html
106,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_885/index.html
107,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_886/index.html
108,First and First (Five Boroughs #3),15.97,4,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_887/index.html
109,Fifty Shades Darker (Fifty Shades #2),21.96,1,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_888/index.html
110,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_889/index.html
111,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_890/index.html
112,Danganronpa Volume 1,51.99,4,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_891/index.html
113,Crown of Midnight (Throne of Glass #2),43.29,3,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_892/index.html
114,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_893/index.html
115,Camp Midnight,17.08,4,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_894/index.html
116,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_895/index.html
117,Burning,28.81,3,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_896/index.html
118,Bossypants,49.46,2,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_897/index.html
119,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_898/index.html
120,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,In stock,Biography,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_899/index.html
121,Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_860/index.html
122,A World of Flavor: Your Gluten Free Passport,42.95,1,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_861/index.html
123,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_862/index.html
124,A Murder in Time,16.64,1,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_863/index.html
125,A Flight of Arrows (The Pathfinders #2),55.53,5,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_864/index.html
126,A Fierce and Subtle Poison,28.13,4,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_865/index.html
127,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_866/index.html
128,(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_867/index.html
129,You Are What You Love: The Spiritual Power of Habit,21.87,4,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_868/index.html
130,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_869/index.html
131,Tuesday Nights in 1980,21.04,2,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_870/index.html
132,Tracing Numbers on a Train,41.6,3,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_871/index.html
133,Throne of Glass (Throne of Glass #1),35.07,3,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_872/index.html
134,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_873/index.html
135,Thirteen Reasons Why,52.72,1,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_874/index.html
136,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_875/index.html
137,The Wedding Dress,24.12,1,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_876/index.html
138,The Vacationers,42.15,4,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_877/index.html
139,The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_878/index.html
140,The Stranger,17.44,4,In stock,History,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_879/index.html
141,The Shadow Hero (The Shadow Hero),33.14,1,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_840/index.html
142,The Secret (The Secret #1),27.37,4,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_841/index.html
143,The Regional Office Is Under Attack!,51.36,5,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_842/index.html
144,The Psychopath Test: A Journey Through the Madness Industry,36.0,2,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_843/index.html
145,The Project,10.65,1,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_844/index.html
146,The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_845/index.html
147,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_846/index.html
148,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_847/index.html
149,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_848/index.html
150,The Mistake (Off-Campus #2),43.29,3,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_849/index.html
151,The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_850/index.html
152,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_851/index.html
153,The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_852/index.html
154,The Kite Runner,41.82,4,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_853/index.html
155,The House by the Lake,36.95,1,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_854/index.html
156,The Glittering Court (The Glittering Court #1),44.28,1,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_855/index.html
157,The Girl on the Train,55.02,2,In stock,Travel,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_856/index.html
